resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
81,1.0,17902125.0241868,18306513.553953506,18203984.409183845,18750070.214272395,404388.5297667049,546085.8050885499,2.2588856307301657,2.9998147263466755
82,1.0,18288758.05428125,18746602.473089863,18429395.585723862,18997353.035676852,457844.418808613,567957.4499529898,2.5034199558533463,3.0818018274725847
83,1.0,17445847.325280778,17982745.64788435,18206808.752443686,18924303.6879099,536898.3226035722,717494.935466215,3.0775135915900904,3.9408055811533367
84,1.976,17533941.19799902,18010156.56682176,18484934.923663296,19052892.373616286,476215.36882274225,567957.4499529898,2.715963076670339,3.072542328650154
85,1.0,18698040.77861169,19214692.596074156,18507771.584058516,19070154.289326932,516651.81746246666,562382.7052684166,2.7631334404482324,3.0386300301697005
86,1.0,17652735.28100462,18189707.90813036,18224632.85596965,18921735.10312398,536972.62712574,697102.2471543327,3.041866422273687,3.825055092541908
87,1.0,19018591.78831471,19461608.2060562,18693948.78135486,19167932.3269667,443016.41774148867,473983.54561183974,2.3293860169693748,2.5354918383246337
88,1.0,18675769.07588682,19140293.114638824,18097645.841647826,18705571.286302347,464524.0387520045,607925.4446545206,2.4873087521293766,3.3591410174217873
89,1.0,19304734.438034944,19732297.243980348,18731994.72216634,19167942.385019816,427562.8059454039,435947.66285347566,2.2148080167474506,2.327289054473205
90,1.863,17952918.48625803,18394267.60163536,18713402.914310787,19156002.88979763,441349.1153773293,442599.9754868448,2.458369739244111,2.3651496070144105
91,1.0,17403043.398875892,17879243.730731275,18351014.133940194,19007226.12618217,476200.33185538277,656211.9922419749,2.7363049148411696,3.575889525518435
92,1.0,18926911.423860762,19385638.769428007,18668593.1109404,19142576.65655224,458727.34556724504,473983.54561183974,2.4236777744357014,2.5389355416079535
93,1.0,18432604.120179195,18907418.055602103,18485056.085344855,19057437.29806313,474813.9354229085,572381.2127182744,2.5759460373974146,3.096453752023313
94,1.0,18877601.24893114,19315661.00502001,18684516.69986453,19127919.59652967,438059.7560888715,443402.896665141,2.3205265876334513,2.373103376381985
95,1.0,18931357.563559987,19370514.73579534,18701458.27700657,19175441.822618406,439157.1722353548,473983.545611836,2.3197341805041294,2.534473721734302
96,1.0,18436927.565906778,18900974.804230478,18410830.261107534,18978787.71106052,464047.2383236997,567957.4499529861,2.5169445216121975,3.0849094902188274
97,1.0,19508142.010066643,20070293.647211477,18496770.862380527,19060088.606096223,562151.6371448338,563317.743715696,2.881625717378676,3.0454923613796514
98,1.0,18781253.37424254,19271711.94823484,18334694.948925752,18913104.642417394,490458.5739923008,578409.6934916414,2.611426214317186,3.154727663061179
99,1.0,17880883.464057285,18343921.32906503,18504672.37692463,19069629.148434415,463037.86500774324,564956.7715097852,2.589569279048794,3.0530493056136874
100,1.0,19159978.30084899,19631981.630578555,18680159.122611776,19125870.67888528,472003.3297295645,445711.5562735051,2.4634857217382637,2.386015843590885
101,1.0,18185542.38414845,18567398.287166033,18158274.65677313,18759360.044285927,381855.90301758423,601085.3875127956,2.099777366829771,3.310256061627461
102,1.0,18404437.840089332,18822313.174688086,18598822.013594303,19125889.208634928,417875.3345987536,527067.1950406246,2.270513982711929,2.833874073612722
103,1.0,18999537.148623727,19454810.666642327,18496340.944533918,19026262.511728544,455273.5180185996,529921.5671946257,2.3962347843383034,2.865007564381156
104,1.0,18671202.263789695,19279034.749732487,18460968.0372188,19091570.082867786,607832.4859427921,630602.0456489846,3.2554544552366727,3.415866623990898
