channel,channel_name,start_min,end_min,break_seconds,len_min,num_spots,program_type,break_position,break_length,ordinal,prog_key,gap_prev_min,gap_next_min,measured,title,shed
כאן 11,Other_first_short,2024-11-26 23:28:00,2024-11-26 23:28:00,18.0,0.3,3,Other,first,short,1.0,"('כאן 11', '2024-11-26', 66)",30.0,23.0,1,מהצד השני עם גיא זהר,0.0028828490565609294
כאן 11,Other_middle_standard,2024-11-26 23:51:00,2024-11-26 23:52:00,102.0,1.7,5,Other,middle,standard,1.0,"('כאן 11', '2024-11-26', 67)",23.0,24.0,1,טהרן עונה 2 ש.ח,-0.2166507169744014
כאן 11,Other_first_standard,2024-11-27 00:16:00,2024-11-27 00:18:00,157.0,2.6166666666666667,5,Other,first,standard,1.0,"('כאן 11', '2024-11-27', 0)",24.0,13.0,1,טהרן עונה 2 ש.ח,-0.041672696400568074
כאן 11,Other_first_standard,2024-11-27 00:31:00,2024-11-27 00:33:00,118.0,1.9666666666666666,5,Other,first,standard,1.0,"('כאן 11', '2024-11-27', 1)",13.0,36.0,1,,-0.0553922207440174
כאן 11,Other_middle_standard,2024-11-27 01:09:00,2024-11-27 01:10:00,114.0,1.9,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-27', 2)",36.0,14.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.13523109048757412
כאן 11,Other_last_standard,2024-11-27 01:24:00,2024-11-27 01:27:00,123.0,2.05,3,Other,last,standard,2.0,"('כאן 11', '2024-11-27', 2)",14.0,50.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.13890293642643337
כאן 11,Other_middle_short,2024-11-27 02:17:00,2024-11-27 02:19:00,83.0,1.3833333333333333,3,Other,middle,short,1.0,"('כאן 11', '2024-11-27', 8)",50.0,27.0,1,קופה ראשית עונה 5 ש.ח,0.06201640586933013
כאן 11,Other_middle_standard,2024-11-27 02:46:00,2024-11-27 02:48:00,120.0,2.0,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-27', 10)",27.0,83.0,1,סיפורים מהכורסה עונה 2 ש.ח,0.23443755793296875
כאן 11,Other_last_standard,2024-11-27 04:11:00,2024-11-27 04:13:00,121.0,2.0166666666666666,4,Other,last,standard,1.0,"('כאן 11', '2024-11-27', 15)",83.0,63.0,1,שלומי שבן מארח ש.ח,-0.012903404835907729
כאן 11,Other_middle_standard,2024-11-27 05:16:00,2024-11-27 05:18:00,131.0,2.183333333333333,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-27', 20)",63.0,18.0,1,טיול אחרי צבא עונה 2 ש.ח,0.24647180380511807
כאן 11,Other_last_short,2024-11-27 05:36:00,2024-11-27 05:38:00,83.0,1.3833333333333333,3,Other,last,short,2.0,"('כאן 11', '2024-11-27', 20)",18.0,404.0,1,טיול אחרי צבא עונה 2 ש.ח,0.07961762796469139
כאן 11,PrimeShow1_middle_standard,2024-11-27 12:22:00,2024-11-27 12:24:00,131.0,2.183333333333333,4,PrimeShow1,middle,standard,1.0,"('כאן 11', '2024-11-27', 29)",404.0,19.0,1,חברים מופלאים ש.ח,0.07827955705515559
כאן 11,PrimeShow1_last_standard,2024-11-27 12:43:00,2024-11-27 12:44:00,112.0,1.8666666666666667,3,PrimeShow1,last,standard,2.0,"('כאן 11', '2024-11-27', 29)",19.0,47.0,0,,
כאן 11,Other_middle_standard,2024-11-27 13:31:00,2024-11-27 13:33:00,130.0,2.1666666666666665,4,Other,middle,standard,1.0,"('כאן 11', '2024-11-27', 34)",47.0,14.0,1,הטיול הגדול - The Great Way ש.ח,0.2717959616009928
כאן 11,Other_last_standard,2024-11-27 13:47:00,2024-11-27 13:49:00,112.0,1.8666666666666667,3,Other,last,standard,2.0,"('כאן 11', '2024-11-27', 34)",14.0,39.0,1,הטיול הגדול - The Great Way ש.ח,-0.6222349226871902
כאן 11,PrimeShow1_last_long,2024-11-27 14:28:00,2024-11-27 14:31:00,184.0,3.066666666666667,4,PrimeShow1,last,long,1.0,"('כאן 11', '2024-11-27', 38)",39.0,26.0,1,הבלתי חשובים ש.ח,0.020083368454677317
כאן 11,Other_first_standard,2024-11-27 14:57:00,2024-11-27 14:59:00,178.0,2.966666666666667,5,Other,first,standard,1.0,"('כאן 11', '2024-11-27', 41)",26.0,40.0,1,קובץ פרומו/פרסומות,0.32833738641493704
כאן 11,Other_last_short,2024-11-27 15:39:00,2024-11-27 15:40:00,46.0,0.7666666666666667,3,Other,last,short,1.0,"('כאן 11', '2024-11-27', 45)",40.0,29.0,1,סיפורים מהכורסה עונה 2 ש.ח,0.1357631689098678
כאן 11,Other_first_standard,2024-11-27 16:09:00,2024-11-27 16:11:00,142.0,2.3666666666666667,7,Other,first,standard,1.0,"('כאן 11', '2024-11-27', 48)",29.0,27.0,1,משחקי הכיס עם ליאל קייזר,0.30677550751043936
